#  California Palmer Drought Severity Index (PDSI)
# Base Period: 1895-2000
Date,Value,Anomaly
199209,-3.04,-3.23
199210,-2.31,-2.38
199211,-2.93,-2.94
199212,0.9,1.03
199301,2.79,2.83
199302,3.44,3.54
199303,2.9,2.92
199304,2.46,2.53
199305,2.68,2.65
199306,3.06,2.94
199307,3.02,2.82
199308,2.89,2.73
199309,-0.39,-0.58
199310,-0.7,-0.77
199311,-1.12,-1.13
199312,-1.53,-1.4
199401,-2.44,-2.4
199402,-2.26,-2.16
199403,-2.96,-2.94
199404,-2.89,-2.82
199405,-2.2,-2.23
199406,-2.04,-2.16
199407,-2.22,-2.42
199408,-2.41,-2.57
199409,-2.33,-2.52
199410,-2.45,-2.52
199411,0.59,0.58
199412,0.29,0.42
199501,3.46,3.5
199502,2.23,2.33
199503,4.71,4.73
199504,4.79,4.86
199505,5.12,5.09
199506,5.76,5.64
199507,6.26,6.06
199508,5.71,5.55
199509,4.73,4.54
199510,3.37,3.3
199511,1.86,1.85
199512,2.18,2.31
199601,2.34,2.38
199602,2.9,3
199603,2.28,2.3
199604,2.15,2.22
199605,2.84,2.81
199606,3.08,2.96
199607,2.88,2.68
199608,2.16,2
199609,1.74,1.55
199610,1.84,1.77
199611,1.86,1.85
199612,3.45,3.58
199701,4.62,4.66
199702,-0.94,-0.84
199703,-2,-1.98
199704,-2.25,-2.18
199705,-2.77,-2.8
199706,-3.03,-3.15
199707,-3.08,-3.28
199708,-2.86,-3.02
199709,0.45,0.26
199710,0.31,0.24
199711,0.71,0.7
199712,0.42,0.55
199801,1.48,1.52
199802,4.16,4.26
199803,4.17,4.19
199804,4.09,4.16
199805,5.5,5.47
199806,6.04,5.92
199807,7.17,6.97
199808,6.6,6.44
199809,6.23,6.04
199810,5.35,5.28
199811,5.48,5.47
199812,-0.63,-0.5
199901,-0.79,-0.75
199902,0.57,0.67
199903,0.29,0.31
199904,0.47,0.54
199905,0.22,0.19
199906,0.31,0.19
199907,0.5,0.3
199908,0.52,0.36
199909,-0.28,-0.47
199910,-0.77,-0.84
199911,-1.01,-1.02
199912,-2.12,-1.99
200001,-0.05,-0.01
200002,1,1.1
200003,-0.54,-0.52
200004,-0.56,-0.49
200005,-0.42,-0.45
200006,-0.44,-0.56
200007,-0.8,-1
200008,-0.79,-0.95
200009,-0.83,-1.02
200010,-0.11,-0.18
200011,-0.76,-0.77
200012,-1.93,-1.8
200101,-2.35,-2.31
200102,-2.06,-1.96
200103,-2.36,-2.34
200104,-1.99,-1.92
200105,-2.36,-2.39
200106,-2.66,-2.78
200107,-2.79,-2.99
200108,-2.89,-3.05
200109,-2.82,-3.01
200110,-3.09,-3.16
200111,-2.24,-2.25
200112,-1.42,-1.29
200201,-1.69,-1.65
200202,-2.24,-2.14
200203,-2.48,-2.46
200204,-2.68,-2.61
200205,-2.58,-2.61
200206,-2.76,-2.88
200207,-3.07,-3.27
200208,-3.28,-3.44
200209,-3.37,-3.56
200210,-3.77,-3.84
200211,0.09,0.08
200212,1.6,1.73
200301,0.69,0.73
200302,0.37,0.47
200303,0.1,0.12
200304,1.4,1.47
200305,1.53,1.5
200306,1.53,1.41
200307,-0.19,-0.39
200308,-0.01,-0.17
200309,-0.4,-0.59
200310,-1.35,-1.42
200311,-1.28,-1.29
200312,0.66,0.79
200401,0.14,0.18
200402,1.01,1.11
200403,-1.19,-1.17
200404,-1.7,-1.63
200405,-2.15,-2.18
200406,-2.8,-2.92
200407,-3.26,-3.46
200408,-3.23,-3.39
200409,-3.26,-3.45
200410,1.6,1.53
200411,1.26,1.25
200412,1.73,1.86
200501,2.33,2.37
200502,2.28,2.38
200503,2.21,2.23
200504,2.09,2.16
200505,3.17,3.14
200506,3.83,3.71
200507,4.58,4.38
200508,4.08,3.92
200509,3.55,3.36
200510,3.01,2.94
200511,2.42,2.41
200512,3.46,3.59
200601,3.49,3.53
200602,2.84,2.94
200603,3.71,3.73
200604,4.61,4.68
200605,-0.05,-0.08
200606,-0.14,-0.26
200607,-0.68,-0.88
200608,-1.1,-1.26
200609,-1.44,-1.63
200610,-1.78,-1.85
200611,-1.91,-1.92
200612,-2.02,-1.89
200701,-3.09,-3.05
200702,-2.81,-2.71
200703,-3.73,-3.71
200704,-3.65,-3.58
200705,-3.88,-3.91
200706,-4.28,-4.4
200707,-4.47,-4.67
200708,-4.42,-4.58
200709,-3.92,-4.11
200710,-3.33,-3.4
200711,-3.88,-3.89
200712,-3.75,-3.62
200801,-2.36,-2.32
200802,-2.33,-2.23
200803,-3.18,-3.16
200804,-3.53,-3.46
200805,-3.6,-3.63
200806,-3.98,-4.1
200807,-4.22,-4.42
200808,-4.2,-4.36
200809,-4.29,-4.48
200810,-4.3,-4.37
200811,-4.13,-4.14
200812,-3.99,-3.86
200901,-4.81,-4.77
200902,-4.15,-4.05
200903,-4.08,-4.06
200904,-4.2,-4.13
200905,-3.67,-3.7
200906,-3.39,-3.51
200907,-3.27,-3.47
200908,-3.28,-3.44
200909,-3.43,-3.62
200910,-2.51,-2.58
200911,-3,-3.01
200912,-3,-2.87
201001,0.67,0.71
201002,0.66,0.76
201003,0.22,0.24
201004,1.22,1.29
201005,1.5,1.47
201006,1.93,1.81
201007,1.94,1.74
201008,1.53,1.37
201009,1.04,0.85
201010,1.99,1.92
201011,1.84,1.83
201012,3.14,3.27
201101,1.98,2.02
201102,1.82,1.92
201103,3.03,3.05
201104,2.47,2.54
201105,2.82,2.79
201106,3.42,3.3
201107,3.84,3.64
201108,3.5,3.34
201109,-0.21,-0.4
201110,-0.08,-0.15
201111,-0.45,-0.46
201112,-1.63,-1.5
201201,-2.27,-2.23
201202,-3.18,-3.08
201203,-2.31,-2.29
201204,-1.74,-1.67
201205,-1.96,-1.99
201206,-1.85,-1.97
201207,-1.74,-1.94
201208,-1.58,-1.74
201209,-1.89,-2.08
201210,-1.97,-2.04
201211,0.24,0.23
201212,1.08,1.21
201301,-0.8,-0.76
201302,-1.66,-1.56
201303,-2.43,-2.41
201304,-2.83,-2.76
201305,-2.98,-3.01
201306,-3.28,-3.4
201307,-3.51,-3.71
201308,-3.23,-3.39
201309,-2.61,-2.8
201310,-2.93,-3
201311,-3.4,-3.41
201312,-4.37,-4.24
201401,-5.88,-5.84
201402,-5.87,-5.77
201403,-5.59,-5.57
201404,-5.53,-5.46
201405,-6.05,-6.08
201406,-6.77,-6.89
201407,-7.01,-7.21
201408,-6.35,-6.51
201409,-5.53,-5.72
201410,-5.3,-5.37
201411,-5.22,-5.23
201412,-3.98,-3.85
201501,-4.84,-4.8
201502,-4.86,-4.76
201503,-5.67,-5.65
201504,-5.53,-5.46
201505,-5.11,-5.14
201506,-5.13,-5.25
201507,-4.85,-5.05
201508,-4.75,-4.91
201509,-4.48,-4.67
201510,-4.48,-4.55
201511,-4.3,-4.31
201512,-3.57,-3.44
201601,-2.3,-2.26
201602,-2.99,-2.89
201603,-2.08,-2.06
201604,-2.1,-2.03
201605,-1.89,-1.92
201606,-1.88,-2
201607,-2.3,-2.5
201608,-2.55,-2.71
201609,-2.7,-2.89
201610,1.57,1.5
201611,1.24,1.23
201612,1.38,1.51
201701,3.61,3.65
201702,4.76,4.86
201703,-0.45,-0.43
201704,0.48,0.55
201705,-0.22,-0.25
201706,-0.26,-0.38
201707,-0.75,-0.95
201708,-0.98,-1.14
201709,-0.96,-1.15
201710,-1.55,-1.62
201711,-1.41,-1.42
201712,-2.63,-2.5
201801,-3.13,-3.09
201802,-4.15,-4.05
201803,-3.05,-3.03
201804,-2.63,-2.56
201805,-2.42,-2.45
201806,-2.29,-2.41
201807,-2.41,-2.61
201808,-2.71,-2.87
201809,-2.93,-3.12
201810,-3.04,-3.11
201811,-2.79,-2.8
201812,-3.06,-2.93
201901,0.23,0.27
201902,2.1,2.2
201903,2.29,2.31
201904,1.67,1.74
201905,2.76,2.73
201906,2.97,2.85
201907,-0.09,-0.29
201908,-0.34,-0.5
201909,-0.16,-0.35
201910,-0.8,-0.87
201911,-1.28,-1.29
201912,-0.9,-0.77
202001,-1.6,-1.56
202002,-2.72,-2.62
202003,-2.45,-2.43
202004,-2.14,-2.07
202005,-1.65,-1.68
202006,-1.44,-1.56
202007,-1.57,-1.77
202008,-1.83,-1.99
202009,-2.21,-2.4
202010,-3.03,-3.1
202011,-3.38,-3.39
202012,-3.89,-3.76
202101,-4.03,-3.99
202102,-4.62,-4.52
202103,-4.79,-4.77
202104,-5.19,-5.12
202105,-5.85,-5.88
202106,-6.69,-6.81
202107,-7.04,-7.24
202108,-6.87,-7.03
202109,-6.38,-6.57
202110,-4.16,-4.23
202111,-4.44,-4.45
202112,-3.17,-3.04
202201,-4.05,-4.01
202202,-4.81,-4.71
202203,-5.39,-5.37
202204,-4.93,-4.86
202205,-5,-5.03
202206,-5.05,-5.17
202207,-5.19,-5.39
202208,-4.79,-4.95
202209,-4.05,-4.24
202210,-4.5,-4.57
202211,-4.25,-4.26
202212,0.87,1
